来源文件地址,POSI的Timestamp(s),POSI的Counter,Latitude,Longitude,floor ID,Building ID,与这一批WIFI数据的时间差(s),最近一批WIFI数据的AppTimestamp(s),最近一批WIFI数据的SensorTimeStamp(s),20:23:00:00:00:01,20:23:00:00:00:02,20:23:00:00:00:03,20:23:00:00:00:04,20:23:00:00:00:05,20:23:00:00:00:06,20:23:00:00:00:07,20:23:00:00:00:08,20:23:00:00:00:09,20:23:00:00:00:10,20:23:00:00:00:11,20:23:00:00:00:12,20:23:00:00:00:13,20:23:00:00:00:14,20:23:00:00:00:15,20:23:00:00:00:16,20:23:00:00:00:17,20:23:00:00:00:18,20:23:00:00:00:19,20:23:00:00:00:21,20:23:00:00:00:22,20:23:00:00:00:23,20:23:00:00:00:24,20:23:00:00:00:25,20:23:00:00:00:26,20:23:00:00:00:27,20:23:00:00:00:28,20:23:00:00:00:30,20:23:00:00:00:31,20:23:00:00:00:34,20:23:00:00:00:35,20:23:00:00:00:36,20:23:00:00:00:37,20:23:00:00:00:38,20:23:00:00:00:41,20:23:00:00:00:42,20:23:00:00:00:44,20:23:00:00:00:45,20:23:00:00:00:46,20:23:00:00:00:47,20:23:00:00:00:48,20:23:00:00:00:49,20:23:00:00:00:50,20:23:00:00:00:51,20:23:00:00:00:52,20:23:00:00:00:55,20:23:00:00:00:56,20:23:00:00:00:57,20:23:00:00:00:59,20:23:00:00:00:61,20:23:00:00:00:62,20:23:00:00:00:65,20:23:00:00:00:67,20:23:00:00:00:68,20:23:00:00:00:69,20:23:00:00:00:71,20:23:00:00:00:72,20:23:00:00:00:73,20:23:00:00:00:79,20:23:00:00:00:80,20:23:00:00:00:82,20:23:00:00:00:84,20:23:00:00:00:88,20:23:00:00:00:89,20:23:00:00:00:90,20:23:00:00:00:91,20:23:00:00:00:92,20:23:00:00:00:93,20:23:00:00:00:94,20:23:00:00:00:95,20:23:00:00:00:96,20:23:00:00:00:97,20:23:00:00:00:98,20:23:00:00:00:99,20:23:00:00:01:00,20:23:00:00:01:01,20:23:00:00:01:02,20:23:00:00:01:03,20:23:00:00:01:04,20:23:00:00:01:05,20:23:00:00:01:06,20:23:00:00:01:07,20:23:00:00:01:08,20:23:00:00:01:09,20:23:00:00:01:10,20:23:00:00:01:11,20:23:00:00:01:12,20:23:00:00:01:13,20:23:00:00:01:14,20:23:00:00:01:15,20:23:00:00:01:16,20:23:00:00:01:17,20:23:00:00:01:18,20:23:00:00:01:19,20:23:00:00:01:20,20:23:00:00:01:21,20:23:00:00:01:22,20:23:00:00:01:23,20:23:00:00:01:24,20:23:00:00:01:26,20:23:00:00:01:27,20:23:00:00:01:28,20:23:00:00:01:29,20:23:00:00:01:31,20:23:00:00:01:32,20:23:00:00:01:33,20:23:00:00:01:34,20:23:00:00:01:35,20:23:00:00:01:36,20:23:00:00:01:37,20:23:00:00:01:38,20:23:00:00:01:39,20:23:00:00:01:40,20:23:00:00:01:41,20:23:00:00:01:42,20:23:00:00:01:43,20:23:00:00:01:44,20:23:00:00:01:45,20:23:00:00:01:46,20:23:00:00:01:47,20:23:00:00:01:51,20:23:00:00:01:52,20:23:00:00:01:54,20:23:00:00:01:55,20:23:00:00:01:56,20:23:00:00:01:58,20:23:00:00:01:59,20:23:00:00:01:60,20:23:00:00:01:62,20:23:00:00:01:64,20:23:00:00:01:65,20:23:00:00:01:66,20:23:00:00:01:67,20:23:00:00:01:68,20:23:00:00:01:69,20:23:00:00:01:70,20:23:00:00:01:71,20:23:00:00:01:72,20:23:00:00:01:73,20:23:00:00:01:74,20:23:00:00:01:75,20:23:00:00:01:76,20:23:00:00:01:77,20:23:00:00:01:81,20:23:00:00:01:82,20:23:00:00:01:83,20:23:00:00:01:84,20:23:00:00:01:85,20:23:00:00:01:86,20:23:00:00:01:87,20:23:00:00:01:88,20:23:00:00:01:89,20:23:00:00:01:90,20:23:00:00:01:91,20:23:00:00:01:92,20:23:00:00:01:93,20:23:00:00:01:94,20:23:00:00:01:95,20:23:00:00:01:96,20:23:00:00:01:97,20:23:00:00:01:98,20:23:00:00:02:01,20:23:00:00:02:07,20:23:00:00:02:09,20:23:00:00:02:10,20:23:00:00:02:11,20:23:00:00:02:12,20:23:00:00:02:14,20:23:00:00:02:15,20:23:00:00:02:16,20:23:00:00:02:17,20:23:00:00:02:18,20:23:00:00:02:19,20:23:00:00:02:20,20:23:00:00:02:21,20:23:00:00:02:22,20:23:00:00:02:23,20:23:00:00:02:24,20:23:00:00:02:25,20:23:00:00:02:26,20:23:00:00:02:27,20:23:00:00:02:28,20:23:00:00:02:29,20:23:00:00:02:30,20:23:00:00:02:34,20:23:00:00:02:35,20:23:00:00:02:39,20:23:00:00:02:54,20:23:00:00:02:55,20:23:00:00:02:56,20:23:00:00:02:57,20:23:00:00:02:58,20:23:00:00:02:59,20:23:00:00:02:60,20:23:00:00:02:61,20:23:00:00:02:65,20:23:00:00:02:67,20:23:00:00:02:70,20:23:00:00:02:73,20:23:00:00:02:74,20:23:00:00:02:82,20:23:00:00:02:88,20:23:00:00:02:89,20:23:00:00:03:08,20:23:00:00:03:11,20:23:00:00:03:12,20:23:00:00:03:13,20:23:00:00:03:15,20:23:00:00:03:16,20:23:00:00:03:17,20:23:00:00:03:20,20:23:00:00:03:21,20:23:00:00:03:22,20:23:00:00:03:25,20:23:00:00:03:26,20:23:00:00:03:27,20:23:00:00:03:28,20:23:00:00:03:29,20:23:00:00:03:30,20:23:00:00:03:31,20:23:00:00:03:32,20:23:00:00:03:33,20:23:00:00:03:34,20:23:00:00:03:35,20:23:00:00:03:36,20:23:00:00:03:37,20:23:00:00:03:38,20:23:00:00:03:39,20:23:00:00:03:40,20:23:00:00:03:41,20:23:00:00:03:42,20:23:00:00:03:43,20:23:00:00:03:44,20:23:00:00:03:45,20:23:00:00:03:46,20:23:00:00:03:47,20:23:00:00:03:48
IPIN2023_T3_TrainingTrial51_repetition02.txt,61.468,1,49.461221918752,11.111590101028,0,100,0.7501000000000033,60.7179,9669.7116,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-88,-100,-100,-91,-100,-91,-90,-100,-86,-100,-100,-87,-100,-85,-84,-87,-87,-87,-100,-100,-88,-88,-91,-81,-80,-92,-100,-100,-87,-86,-100,-84,-83,-87,-87,-100,-100,-87,-100,-100,-100,-100,-100,-85,-90,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
IPIN2023_T3_TrainingTrial51_repetition02.txt,93.4227,3,49.461322924780,11.111567743893,-1,100,0.9136999999999915,94.3364,9703.3553,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-92,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-88,-100,-100,-84,-100,-100,-78,-91,-100,-100,-100,-100,-100,-100,-93,-100,-100,-94,-100,-93,-100,-91,-100,-100,-100,-100,-100,-100,-100,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
IPIN2023_T3_TrainingTrial51_repetition02.txt,108.1969,4,49.461293987132,11.111548064557,-2,100,0.033299999999997,108.1636,9717.2182,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-87,-100,-100,-82,-90,-87,-89,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
IPIN2023_T3_TrainingTrial51_repetition02.txt,125.9584,5,49.461293987132,11.111548064557,-2,100,0.2301999999999964,126.1886,9735.219,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-58,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-80,-100,-100,-82,-100,-100,-79,-100,-85,-85,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
IPIN2023_T3_TrainingTrial51_repetition02.txt,139.5206,6,49.461322924780,11.111567743893,-1,100,0.776299999999992,140.2969,9749.3405,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-58,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-74,-100,-100,-82,-100,-100,-78,-94,-100,-93,-100,-100,-100,-90,-100,-100,-100,-100,-88,-100,-100,-91,-100,-88,-100,-100,-100,-100,-100,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
IPIN2023_T3_TrainingTrial51_repetition02.txt,150.8236,7,49.461219385271,11.111628329564,-1,100,0.47589999999999577,150.3477,9759.3715,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-84,-100,-100,-85,-100,-100,-100,-94,-89,-93,-100,-100,-100,-92,-90,-100,-100,-91,-100,-87,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-88,-100,-100,-100,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
IPIN2023_T3_TrainingTrial51_repetition02.txt,169.4015,8,49.461221918752,11.111590101028,0,100,0.9636999999999887,170.3652,9779.3944,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-76,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-89,-100,-100,-91,-100,-100,-93,-100,-92,-90,-100,-83,-100,-100,-80,-79,-91,-92,-86,-85,-84,-100,-81,-100,-100,-100,-74,-74,-100,-100,-100,-100,-100,-100,-92,-92,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
IPIN2023_T3_TrainingTrial51_repetition02.txt,215.3948,10,49.461219385271,11.111628329564,-1,100,0.9232999999999834,216.3181,9825.3452,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-84,-100,-100,-89,-100,-100,-100,-100,-91,-100,-100,-92,-100,-100,-94,-90,-90,-89,-92,-100,-100,-91,-100,-91,-100,-100,-100,-100,-100,-100,-94,-93,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
IPIN2023_T3_TrainingTrial51_repetition02.txt,226.3328,11,49.461322924780,11.111567743893,-1,100,0.02750000000000341,226.3053,9835.3504,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-63,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-87,-100,-100,-90,-100,-100,-76,-86,-100,-89,-100,-100,-100,-83,-100,-100,-100,-92,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
IPIN2023_T3_TrainingTrial51_repetition02.txt,240.2368,12,49.461293987132,11.111548064557,-2,100,0.09590000000000032,240.1409,9849.1661,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-55,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-93,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-76,-100,-100,-82,-100,-100,-84,-88,-88,-84,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
